"Timestamp","Укажите ваш пол","Укажите город, в котором находится ваше учебное заведение","Укажите название учебного заведения, в котором вы обучаетесь","Укажите номер вашего класса(последний класс, который вы закончили)","Время в которое у вас начинаются уроки/пары","Выберите ваш первый любимый предмет","Почему вам нравится этот предмет?","Ваш второй любимый предмет","Почему вам нравится этот предмет?","Сколько часов вы обычно тратите в день на домашнее задание?","Сколько времени вы тратите на самообучение(не связанного с домашним заданием)?","Как часто вы списываете домашнее задание?","Отметьте предметы(можно несколько), по которым вы наиболее часто списываете домашнее задание","Как вы оцениваете чистоту вашей школы (по десятибалльной шкале)?","Как вы оцениваете столовую в вашей школе (по десятибалльной шкале)?","Как вы оцениваете прилегающую территорию вашей школы, в том числе и стадион (по десятибалльной шкале)?","Как вы оцениваете спортивный зал и инвентарь в вашей школе(по десятибальной шкале)?","Насколько вы в целом удовлетворены своим учебным заведением?","Как вы оцениваете своё желание учиться в вашем учебном заведении на данный момент (по десятибалльной шкале)?","Сколько в среднем вы спите по будням?","Делаете ли вы утром зарядку?","Сколько времени у вас занимает дорога от дома до школы?","На сколько баллов(от 1 до 10) вы оцениваете своё рабочее состояние в течение дня?","Когда вы делаете домашнее задание?","Можете добавить какую-либо важную, по вашему мнению, информацию о вашем учебном заведении, которая не была упомянута в опросе.","Можете написать предложения по поводу данного опроса.",""
"2018/05/28 10:57:02 PM GMT+3","Мужской","Минск","Школа 185","7","9:00","математика","Мне интересен сам предмет","информатика","Мне интересен сам предмет","1-3 часа","до 3 часов в неделю","Никогда","физика;русский язык;белорусский язык","10","7","5","8","Слегка удовлетворен/на","7","9:00","Нет","10","8","В течение дня(за день перед уроком)","","",""
"2018/05/28 10:59:32 PM GMT+3","Женский"," Минск","Сш 92","8","8:30","белорусский язык","Мне интересен сам предмет","белорусская литература","Его интересно преподают","до 1 часа","до 3 часов в неделю","Время от времени","математика","8","4","8","8","Нейтрально","5","8:0","Нет","15","6","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:02:36 PM GMT+3","Мужской","Минск","СШ 154","10","9:00","русский язык","Мне интересен сам предмет","русский язык","Мне интересен сам предмет","больше 3 часов","до 3 часов в неделю","Время от времени","математика;физика;химия;биология","8","9","7","9","Очень удовлетворен/на","9","7-8","Нет","15","8","Комбинированно","","",""
"2018/05/28 11:06:48 PM GMT+3","Женский","Минский район, а/г Сеница ","Сеницкая средняя школа имени Янки Купалы ","10","8:00","иностранный язык","Оба варианта","всемирная история","Мне интересен сам предмет","1-3 часа","от 3 до 7 в неделю","Никогда","химия","7","8","9","9","Немного неудовлетворен/на","7","""7:30""","Нет","""10""","6","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:07:55 PM GMT+3","Мужской","Минск","СШ N154","10","9:00","математика","Мне интересен сам предмет","информатика","Мне интересен сам предмет","1-3 часа","от 3 до 7 в неделю","Время от времени","белорусская литература;всемирная история;история Беларуси","8","8","8","7","Слегка удовлетворен/на","7","7:00","Нет","10","7","Комбинированно","","",""
"2018/05/28 11:08:00 PM GMT+3","Мужской","Минск","Специализированный лицей МВД РБ","10","8:30","информатика","Оба варианта","история Беларуси","Оба варианта","1-3 часа","Не занимаюсь вообще","Время от времени","математика;химия","9","8","10","8","Очень удовлетворен/на","10","9:00","Да","Я там и живу","9","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:09:13 PM GMT+3","Мужской","Минск","ГУО СШ №208","10","8:30","информатика","Оба варианта","география","Мне интересен сам предмет","до 1 часа","до 3 часов в неделю","Время от времени","математика;химия","9","8","9","8","Очень удовлетворен/на","10","7;00","Да","15","7","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:09:30 PM GMT+3","Женский","Минск ","МГПЛ №12 строительства","10","8:30","информатика","Мне интересен сам предмет","черчение","Оба варианта","1-3 часа","до 3 часов в неделю","Время от времени","математика;физика;химия;иностранный язык;белорусский язык;всемирная история;история Беларуси","8","10","10","10","Нейтрально","5","""5:00"",""6:00""","Нет","""20""","5","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:09:53 PM GMT+3","Мужской","Минск","сш","9","9:00","история Беларуси","Оба варианта","русский язык","Оба варианта","до 1 часа","до 3 часов в неделю","Время от времени","математика;физика","8","8","5","8","Нейтрально","7","''8:00''","Нет","''2''","8","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:10:22 PM GMT+3","Мужской","Минск ","Школа","10","8:30","информатика","Мне интересен сам предмет","география","Мне интересен сам предмет","1-3 часа","до 3 часов в неделю","Время от времени","русский язык;русская литература","7","6","9","9","Очень удовлетворен/на","8","7:30","Нет","2","8","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:11:31 PM GMT+3","Мужской","Минск","208 школа","7","8:30","физкультура","Люблю спорт😁💝","география","Оба варианта","1-3 часа","до 3 часов в неделю","Время от времени","математика","10","10","6","10","Очень удовлетворен/на","10","7.00","Да","2 минуты)","8","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:11:54 PM GMT+3","Мужской","Минск","Гимназия 56","11","8:30","информатика","Мне интересен сам предмет","иностранный язык","Мне интересен сам предмет","до 1 часа","от 3 до 7 в неделю","Практически постоянно","математика;химия;русский язык;белорусский язык;астрономия","7","5","7","8","Сильно неудовлетворен/на","5","7:00","Нет","40","9","Комбинированно","","",""
"2018/05/28 11:12:23 PM GMT+3","Мужской","Минск","Гимназия 16","8","9:00","всемирная история","Его интересно преподают","иностранный язык","Мне интересен сам предмет","до 1 часа","от 3 до 7 в неделю","Практически постоянно","математика;русский язык","8","8","10","9","Слегка удовлетворен/на","8","7:00","Нет","15","8","Комбинированно","","",""
"2018/05/28 11:13:03 PM GMT+3","Женский","Минский район. А\г Сеница ","Сеницкая средняя школа им.Я.Купалы","10","8:00","математика","Мне интересен сам предмет","история Беларуси","Оба варианта","1-3 часа","больше 7 часов в неделю","Практически постоянно","физика","9","9","9","8","Очень удовлетворен/на","10","6:45","Нет","10","10","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:13:26 PM GMT+3","Мужской","Минск","Школа 154","10","9:00","математика","Мне интересен сам предмет","иностранный язык","Мне интересен сам предмет","1-3 часа","до 3 часов в неделю","Время от времени","русская литература;белорусская литература","8","7","7","5","Нейтрально","9","7:00","Нет","15","8","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:13:31 PM GMT+3","Женский","Минск","СШ #154 г. Минска","10","8:00","иностранный язык","Оба варианта","русский язык","Оба варианта","1-3 часа","до 3 часов в неделю","Время от времени","математика;химия;география","9","8","10","9","Очень удовлетворен/на","9","6:00","Нет","20","8","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:15:25 PM GMT+3","Женский","Минск ","Средняя школа 12","10","8:30","география","Оба варианта","русский язык","Нужен жля поступления ","1-3 часа","до 3 часов в неделю","Практически постоянно","физика;химия;иностранный язык","9","6","10","8","Слегка удовлетворен/на","9","6:49","Нет","20","7","Комбинированно","","",""
"2018/05/28 11:16:50 PM GMT+3","Женский","Минск","Школа","8","8:30","белорусский язык","Его интересно преподают","биология","Мне интересен сам предмет","1-3 часа","до 3 часов в неделю","Время от времени","физика;иностранный язык","8","5","4","3","Нейтрально","4","7:00","Нет","15","5","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:17:36 PM GMT+3","Женский","Минск","Школа","10","8:30","русский язык","Оба варианта","иностранный язык","Мне интересен сам предмет","1-3 часа","Не занимаюсь вообще","Никогда","физика","7","6","8","8","Очень удовлетворен/на","7","7:00","Нет","20","7","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:20:00 PM GMT+3","Мужской","Минск","Гимназия 42","9","8:30","иностранный язык","Оба варианта","белорусский язык","Оба варианта","больше 3 часов","от 3 до 7 в неделю","Никогда","информатика","9","8","7","7","Немного неудовлетворен/на","8","7:00","Нет","30","8","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:21:22 PM GMT+3","Мужской","Минск","СШ 12","10","8:30","математика","Мне интересен сам предмет","русский язык","Мне интересен сам предмет","1-3 часа","больше 7 часов в неделю","Время от времени","физика","10","10","10","10","Очень удовлетворен/на","8","8.00","Да","5","8","Комбинированно","","",""
"2018/05/28 11:24:38 PM GMT+3","Мужской","Минск","Гимназия 174","11","9:00","математика","Мне интересен сам предмет","иностранный язык","Оба варианта","до 1 часа","до 3 часов в неделю","Время от времени","русский язык;белорусский язык;астрономия","8","8","6","5","Нейтрально","6","7:50","Нет","7","7","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:25:59 PM GMT+3","Мужской","Минск","Средняя школа №46","10","8:30","биология","Его интересно преподают","всемирная история","Его интересно преподают","1-3 часа","до 3 часов в неделю","Время от времени","математика;физика;химия;русский язык;белорусский язык","8","6","7","5","Нейтрально","6","8:00","Нет","15","8","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:26:12 PM GMT+3","Женский","Минск","Гимназия 38","7","8:30","иностранный язык","Оба варианта","русский язык","Оба варианта","1-3 часа","от 3 до 7 в неделю","Время от времени","физика","9","5","10","9","Слегка удовлетворен/на","8","7:30","Нет","15","7","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:27:53 PM GMT+3","Мужской","Минск","Школа","10","8:30","информатика","Мне интересен сам предмет","иностранный язык","Его интересно преподают","до 1 часа","до 3 часов в неделю","Практически постоянно","математика","7","6","6","7","Немного неудовлетворен/на","8","8:00","Нет","10-15","9","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:28:30 PM GMT+3","Женский","Минск","Гимназия 24","7","9:00","история Беларуси","Оба варианта","русская литература","Оба варианта","до 1 часа","от 3 до 7 в неделю","Время от времени","математика;иностранный язык;русский язык;белорусский язык","8","5","9","9","Слегка удовлетворен/на","10","7:00","Нет","7 ","7","Комбинированно","","",""
"2018/05/28 11:28:42 PM GMT+3","Женский","Молодечно","Гимназия-колледж искусств ","11","8:30","история Беларуси","Мне интересен сам предмет","информатика","Мне интересен сам предмет","1-3 часа","до 3 часов в неделю","Время от времени","математика;физика","10","10","10","10","Очень удовлетворен/на","10","7:00","Нет","10 ","8","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:30:12 PM GMT+3","Женский","Минск","сш 82","6","9:00","иностранный язык","Оба варианта","география","Оба варианта","до 1 часа","Не занимаюсь вообще","Время от времени","математика;иностранный язык;русский язык;белорусский язык","9","9","10","9","Слегка удовлетворен/на","10","""8:00"",""7:30""","Нет","5","10","Комбинированно","","",""
"2018/05/28 11:30:28 PM GMT+3","Женский","молодечно","гимназия колледж искусств","11","8:30","биология","Мне интересен сам предмет","русская литература","Мне интересен сам предмет","больше 3 часов","больше 7 часов в неделю","Время от времени","математика;физика;белорусский язык","10","5","7","3","Нейтрально","5","5:30","Нет","10","3","Комбинированно","","",""
"2018/05/28 11:31:12 PM GMT+3","Мужской","Молодечно ","Гимназия-колледж искусств","11","8:30","белорусская литература","Мне интересен сам предмет","иностранный язык","Мне интересен сам предмет","1-3 часа","от 3 до 7 в неделю","Практически постоянно","математика;физика;химия;биология;белорусский язык;белорусская литература;астрономия","10","10","9","9","Очень удовлетворен/на","8","7:00","Нет","15","8","Комбинированно","","",""
"2018/05/28 11:31:46 PM GMT+3","Мужской","Минск","МГКСО","9","8:30","физика","Оба варианта","математика","Оба варианта","1-3 часа","Не занимаюсь вообще","Время от времени","химия;русский язык;белорусский язык","8","10","9","7","Очень удовлетворен/на","9","6:30","Нет","40","5","Комбинированно","","",""
"2018/05/28 11:32:14 PM GMT+3","Женский","Минск","Школа 124","10","8:30","всемирная история","Мне интересен сам предмет","иностранный язык","Мне интересен сам предмет","1-3 часа","до 3 часов в неделю","Никогда","математика","10","10","10","10","Очень удовлетворен/на","10","6.00","Нет","15","8","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:33:06 PM GMT+3","Женский","Молодечно","Гимназия-колледж искусств ","11","8:30","география","Мне интересен сам предмет","иностранный язык","Мне интересен сам предмет","больше 3 часов","от 3 до 7 в неделю","Время от времени","физика;химия","6","1","5","4","Сильно неудовлетворен/на","2","7:00","Нет","""7""","3","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:34:01 PM GMT+3","Женский","Молодечно","Гимназия-колледж искусств","11","8:30","математика","Оба варианта","физика","Оба варианта","до 1 часа","от 3 до 7 в неделю","Никогда","черчение","9","9","10","8","Слегка удовлетворен/на","7","6.30-7.00","Нет","35","7","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:35:51 PM GMT+3","Мужской","Молодечно","Гимназия-колледж искусств","11","8:30","химия","Его интересно преподают","физкультура","Мне интересен сам предмет","до 1 часа","до 3 часов в неделю","Практически постоянно","математика;физика","9","6","6","7","Слегка удовлетворен/на","8","7:30","Нет","3","8","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:36:15 PM GMT+3","Женский","Минск","Школа","7","9:00","биология","Его интересно преподают","русская литература","Просто интересно","больше 3 часов","от 3 до 7 в неделю","Время от времени","математика;география;иностранный язык;русский язык;белорусский язык","5","5","6","5","Нейтрально","6","6:30","Нет","""30""","6","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:36:46 PM GMT+3","Женский","Молодечно ","Гимназия-колледж искусств г.Молодечно","11","8:30","математика","Мне интересен сам предмет","русская литература","Оба варианта","до 1 часа","больше 7 часов в неделю","Время от времени","химия;белорусский язык","9","7","8","6","Слегка удовлетворен/на","6","5:30","Да","5","4","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:38:25 PM GMT+3","Мужской","Жепа","Артем лох","8","9:00","физкультура","Его интересно преподают","физкультура","Мне интересен сам предмет","больше 3 часов","больше 7 часов в неделю","Практически постоянно","математика;физика;химия;биология;география;иностранный язык;информатика;русский язык;русская литература;белорусский язык;белорусская литература;всемирная история;история Беларуси;обществоведение;черчение;астрономия","1","10","4","3","Слегка удовлетворен/на","8","Артем бляяять","Нет","Это конец","2","Комбинированно","","",""
"2018/05/28 11:40:47 PM GMT+3","Женский","Минск","16 гимназия ","8","9:00","русский язык","Мне интересен сам предмет","математика","Оба варианта","до 1 часа","до 3 часов в неделю","Время от времени","математика;химия;русский язык","10","8","9","6","Очень удовлетворен/на","10","5:00","Нет","20","6","Комбинированно","","",""
"2018/05/28 11:41:21 PM GMT+3","Женский","Минск","Гимназия №16","8","9:00","математика","Его интересно преподают","иностранный язык","Мне интересен сам предмет","1-3 часа","до 3 часов в неделю","Время от времени","физика;химия","8","8","10","8","Слегка удовлетворен/на","7","6:30","Нет","20","7","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:41:58 PM GMT+3","Мужской","Минск","МГКСО","11","8:00","информатика","Его интересно преподают","биология","Его интересно преподают","до 1 часа","Не занимаюсь вообще","Время от времени","математика","9","10","10","9","Очень удовлетворен/на","9","5:00","Нет","90","5","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:43:15 PM GMT+3","Женский","молодечно","гки","11","8:30","иностранный язык","Мне интересен сам предмет","иностранный язык","Оба варианта","до 1 часа","до 3 часов в неделю","Практически постоянно","математика;физика;химия;биология;информатика","10","9","10","10","Очень удовлетворен/на","2","6:00","Нет","4","1","Утром(в день урока)","","",""
"2018/05/28 11:45:30 PM GMT+3","Женский","Молодечно ","Гимназия-колледж искусств ","11","8:30","география","Оба варианта","биология","Его интересно преподают","1-3 часа","Не занимаюсь вообще","Время от времени","физика;химия","10","9","9","9","Слегка удовлетворен/на","7","""7:00""","Нет","""4""","6","В течение дня(за день перед уроком)","","",""
"2018/05/28 11:48:53 PM GMT+3","Мужской","Минск","Гимназия 16 ","8","9:00","иностранный язык","Его интересно преподают","всемирная история","Мне интересен сам предмет","до 1 часа","Не занимаюсь вообще","Практически постоянно","математика;физика;химия;биология;география;русский язык;белорусский язык","10","8","9","6","Очень удовлетворен/на","8","""7:00"",""6:00""","Нет","40-50 ","5","Комбинированно","","",""
"2018/05/28 11:54:01 PM GMT+3","Мужской","Минск","Гимназия 61","10","9:00","физика","Мне интересен сам предмет","русская литература","Его интересно преподают","больше 3 часов","от 3 до 7 в неделю","Время от времени","математика;химия","9","7","8","8","Очень удовлетворен/на","10","5:00","Нет","5","7","Комбинированно","","",""
"2018/05/28 11:56:29 PM GMT+3","Женский","Город Мозырь ","Школа номер 14","10","8:00","иностранный язык","Мне интересен сам предмет","обществоведение","Мне интересен сам предмет","1-3 часа","до 3 часов в неделю","Время от времени","физика;химия","9","8","10","8","Очень удовлетворен/на","9","8:00","Нет","15","8","Комбинированно","","",""
"2018/05/28 11:56:50 PM GMT+3","Мужской","Минск","Гимназия 61","10","9:00","физика","Мне интересен сам предмет","математика","Мне интересен сам предмет","1-3 часа","от 3 до 7 в неделю","Никогда","астрономия","9","7","8","8","Слегка удовлетворен/на","9","6:00","Да","5","9","В течение дня(за день перед уроком)","","",""
"2018/05/29 12:03:15 AM GMT+3","Женский","Минск","Гимназия 61","10","9:00","русская литература","Оба варианта","физика","Его интересно преподают","1-3 часа","до 3 часов в неделю","Время от времени","химия","8","7","8","9","Нейтрально","7","5:30","Нет","5","7","В течение дня(за день перед уроком)","","",""
"2018/05/29 12:04:51 AM GMT+3","Мужской","Минск","Гимназия №192","10","8:30","математика","нужен, при поступление в ВУЗ","иностранный язык","Мне интересен сам предмет","1-3 часа","до 3 часов в неделю","Практически постоянно","физика;химия;биология;русский язык;белорусский язык","9","9","7","8","Немного неудовлетворен/на","3","7.00","Нет","2","7","В течение дня(за день перед уроком)","","",""
"2018/05/29 12:07:35 AM GMT+3","Мужской","Минск","Команда ","11","8:00","иностранный язык","Оба варианта","информатика","Мне интересен сам предмет","до 1 часа","до 3 часов в неделю","Практически постоянно","математика","6","7","5","6","Слегка удовлетворен/на","7","7:30","Нет","25","4","В течение дня(за день перед уроком)","","",""
"2018/05/29 12:16:12 AM GMT+3","Женский","Молодечно","ГКИ г.Молодечно","11","8:30","математика","Мне интересен сам предмет","иностранный язык","Оба варианта","до 1 часа","от 3 до 7 в неделю","Практически постоянно","математика;физика;химия;биология","8","7","9","8","Слегка удовлетворен/на","8","7:00","Нет","7","7","В течение дня(за день перед уроком)","","",""
"2018/05/29 12:19:43 AM GMT+3","Мужской","Минск","208","10","8:30","иностранный язык","Его интересно преподают","всемирная история","Мне интересен сам предмет","до 1 часа","до 3 часов в неделю","Практически постоянно","математика;физика;химия;биология;география;иностранный язык;информатика;русский язык;русская литература;белорусский язык;белорусская литература;всемирная история;история Беларуси;обществоведение;черчение;астрономия","10","6","1","5","Нейтрально","6","6:00","Нет","10","10","В течение дня(за день перед уроком)","","",""
"2018/05/29 12:27:18 AM GMT+3","Женский","Минск","Сш 63","9","9:00","иностранный язык","Мне интересен сам предмет","география","Мне интересен сам предмет","до 1 часа","Не занимаюсь вообще","Никогда","математика","6","6","6","4","Немного неудовлетворен/на","5","6:30","Нет","15-20","7","В течение дня(за день перед уроком)","","",""
"2018/05/29 12:45:54 AM GMT+3","Женский","Минск","МГКСО","10","8:00","математика","Мне интересен сам предмет","иностранный язык","Оба варианта","1-3 часа","до 3 часов в неделю","Время от времени","белорусский язык","9","10","9","8","Очень удовлетворен/на","9","6","Нет","1 час","9","В течение дня(за день перед уроком)","","",""
"2018/05/29 6:20:55 AM GMT+3","Мужской","Минск","Гимназия N61","10","8:00","физкультура","Мне интересен сам предмет","математика","Мне интересен сам предмет","больше 3 часов","Не занимаюсь вообще","Никогда","биология","10","6","10","10","Нейтрально","8","7:00","Нет","20","7","В течение дня(за день перед уроком)","","",""
"2018/05/29 7:03:45 AM GMT+3","Мужской","Минск","Гимназия 61","10","9:00","история Беларуси","Мне интересен сам предмет","физика","Мне интересен сам предмет","1-3 часа","Не занимаюсь вообще","Время от времени","математика;химия","9","7","5","6","Слегка удовлетворен/на","9","8:00","Нет","45","7","В течение дня(за день перед уроком)","","",""
"2018/05/29 7:04:50 AM GMT+3","Мужской","Минск ","МГКСО","11","8:00","физкультура","Мне интересен сам предмет","астрономия","Мне интересен сам предмет","до 1 часа","больше 7 часов в неделю","Практически постоянно","математика;русский язык;белорусский язык","10","10","10","10","Очень удовлетворен/на","10","7","Нет","20","8","Комбинированно","","",""
"2018/05/29 7:10:31 AM GMT+3","Женский","Молодечно","Гки","11","8:30","химия","Его интересно преподают","математика","Мне интересен сам предмет","больше 3 часов","Не занимаюсь вообще","Время от времени","белорусский язык","10","6","6","8","Слегка удовлетворен/на","10","6:00","Нет","20","8","В течение дня(за день перед уроком)","","",""
"2018/05/29 7:21:00 AM GMT+3","Женский","Молодечно","Гимназия-колледж искусств","11","8:30","информатика","Мне интересен сам предмет","математика","Его интересно преподают","до 1 часа","больше 7 часов в неделю","Практически постоянно","математика;физика;химия;русский язык;белорусский язык","10","8","7","7","Нейтрально","1","7:00","Нет","25","4","Комбинированно","","",""
"2018/05/29 7:21:32 AM GMT+3","Женский","Минск","24 гимназия","10","9:00","русская литература","Его интересно преподают","иностранный язык","Мне интересен сам предмет","1-3 часа","от 3 до 7 в неделю","Время от времени","физика;химия","10","9","10","10","Очень удовлетворен/на","9","7.00","Нет","40","8","В течение дня(за день перед уроком)","","",""
"2018/05/29 7:24:01 AM GMT+3","Женский","Минск","Гимназия 146","11","8:30","иностранный язык","Оба варианта","русская литература","Его интересно преподают","1-3 часа","до 3 часов в неделю","Время от времени","химия","9","8","8","9","Нейтрально","8","7:00","Нет","5","8","Комбинированно","","",""
"2018/05/29 7:25:42 AM GMT+3","Мужской","Минск","Гимназия 56","9","8:30","физика","Мне интересен сам предмет","математика","Мне интересен сам предмет","больше 3 часов","до 3 часов в неделю","Время от времени","русский язык;белорусский язык;черчение","10","6","10","9","Очень удовлетворен/на","9","7:30","Нет","15","8","В течение дня(за день перед уроком)","","",""
"2018/05/29 7:28:04 AM GMT+3","Мужской","Минск ","Гимназмя №10","9","8:30","физкультура","Мне интересен сам предмет","информатика","Мне интересен сам предмет","1-3 часа","от 3 до 7 в неделю","Время от времени","русский язык;белорусский язык","9","8","9","9","Очень удовлетворен/на","8","7:00","Нет","30","7","В течение дня(за день перед уроком)","","",""
"2018/05/29 7:28:26 AM GMT+3","Женский","Минск","СШ  161","10","8:30","иностранный язык","Оба варианта","математика","Он мне нужен в будущем","1-3 часа","больше 7 часов в неделю","Время от времени","физика;химия","10","9","9","8","Слегка удовлетворен/на","8","7:00","Да","5","8","Комбинированно","","",""
"2018/05/29 7:31:38 AM GMT+3","Женский","Минск ","Гимназия 146","11","8:30","химия","Мне интересен сам предмет","математика","Оба варианта","1-3 часа","до 3 часов в неделю","Время от времени","биология;обществоведение","9","8","8","9","Нейтрально","9","7:00","Нет","5","8","В течение дня(за день перед уроком)","","",""
"2018/05/29 7:32:24 AM GMT+3","Мужской","Минск","Минский государстевенный областной лицей","10","8:30","математика","Оба варианта","физика","Оба варианта","больше 3 часов","от 3 до 7 в неделю","Никогда","химия","10","7","10","10","Очень удовлетворен/на","10","7:00","Нет","1","9","В течение дня(за день перед уроком)","","",""
"2018/05/29 7:32:47 AM GMT+3","Женский","Минск ","Гимназия 146 ","11","8:30","иностранный язык","Оба варианта","математика","Оба варианта","1-3 часа","от 3 до 7 в неделю","Время от времени","химия;биология;география;белорусский язык;обществоведение;астрономия","7","4","8","8","Нейтрально","3","7:00","Нет","10","9","Комбинированно","","",""
"2018/05/29 7:35:38 AM GMT+3","Мужской","Минск","Гимназия 10","9","8:30","иностранный язык","Мне интересен сам предмет","география","Его интересно преподают","до 1 часа","от 3 до 7 в неделю","Время от времени","математика;физика;химия;черчение","9","8","10","10","Слегка удовлетворен/на","9","7:00","Нет","20","5","Комбинированно","","",""
"2018/05/29 7:37:10 AM GMT+3","Женский","Минск","Гимназия","9","8:30","черчение","Оба варианта","белорусская литература","Оба варианта","больше 3 часов","больше 7 часов в неделю","Время от времени","химия;русский язык","10","9","10","10","Очень удовлетворен/на","10","5:30","Нет","5","8","В течение дня(за день перед уроком)","","",""
"2018/05/29 7:38:30 AM GMT+3","Мужской","Минск","Гимназия","10","8:00","всемирная история","Оба варианта","география","Оба варианта","1-3 часа","до 3 часов в неделю","Время от времени","математика;физика","8","7","8","8","Слегка удовлетворен/на","8","4:30","Да","35","6","В течение дня(за день перед уроком)","","",""
"2018/05/29 7:43:04 AM GMT+3","Мужской","Минск","Минский государственный областной лицей","10","8:30","физика","Оба варианта","математика","Оба варианта","1-3 часа","от 3 до 7 в неделю","Никогда","белорусский язык","10","10","10","10","Очень удовлетворен/на","10","7:00","Да","50","10","В течение дня(за день перед уроком)","","",""
"2018/05/29 7:58:13 AM GMT+3","Мужской","Минск ","Гимназия 146","11","8:30","физкультура","Оба варианта","математика","Оба варианта","1-3 часа","больше 7 часов в неделю","Время от времени","химия","9","5","8","9","Слегка удовлетворен/на","8","800","Да","5","8","Комбинированно","","",""
"2018/05/29 8:12:47 AM GMT+3","Мужской","Минск ","Гимназия 61","10","9:00","математика","Мне интересен сам предмет","физика","Оба варианта","до 1 часа","больше 7 часов в неделю","Никогда","черчение","9","7","7","7","Слегка удовлетворен/на","7","8:00","Да","5","8","Комбинированно","","",""
"2018/05/29 8:21:45 AM GMT+3","Женский","Минск ","Минский государственный колледж сферы обслуживания ","10","8:00","иностранный язык","Мне интересен сам предмет","русская литература","Мне интересен сам предмет","до 1 часа","до 3 часов в неделю","Время от времени","химия","7","8","9","10","Слегка удовлетворен/на","9","7:30","Да","15","7","В течение дня(за день перед уроком)","","",""
"2018/05/29 8:30:44 AM GMT+3","Женский","Минск","Сш 94","10","9:00","история Беларуси","Его интересно преподают","русский язык","Мне интересен сам предмет","больше 3 часов","от 3 до 7 в неделю","Никогда","математика","10","7","10","8","Сильно неудовлетворен/на","9","8:30","Нет","15","7","В течение дня(за день перед уроком)","","",""
"2018/05/29 8:33:37 AM GMT+3","Мужской","Минск","Гимназия №40","10","9:00","физика","Оба варианта","всемирная история","Мне интересен сам предмет","больше 3 часов","больше 7 часов в неделю","Время от времени","химия;белорусский язык","8","5","8","9","Нейтрально","6","7:00","Нет","20","7","В течение дня(за день перед уроком)","","",""
"2018/05/29 8:38:26 AM GMT+3","Женский","Кореличи ","с.ш. 1, г.п. Кореличи","10","9:00","иностранный язык","Мне интересен сам предмет","химия","Его интересно преподают","1-3 часа","от 3 до 7 в неделю","Время от времени","физика;русский язык;белорусский язык;всемирная история;история Беларуси;обществоведение","5","8","9","6","Немного неудовлетворен/на","3","7:30","Нет","15","6","В течение дня(за день перед уроком)","","",""
"2018/05/29 8:41:35 AM GMT+3","Женский","Минск","Гимназия 10","9","8:30","иностранный язык","Оба варианта","биология","Мне интересен сам предмет","больше 3 часов","Не занимаюсь вообще","Время от времени","математика;химия;белорусский язык","7","7","8","7","Нейтрально","3","6:00","Нет","7","6","Комбинированно","","",""
"2018/05/29 8:51:54 AM GMT+3","Мужской","Минск","Гимназия","10","8:00","иностранный язык","Его интересно преподают","астрономия","Мне интересен сам предмет","до 1 часа","до 3 часов в неделю","Никогда","математика;физика;химия;биология;география;иностранный язык;информатика;русский язык;русская литература;белорусский язык;белорусская литература;всемирная история;история Беларуси;обществоведение;черчение;астрономия","10","10","10","10","Очень удовлетворен/на","10","Дай бог сплю","Нет","20","10","Комбинированно","","",""
"2018/05/29 8:58:04 AM GMT+3","Женский","Минск","ГУО ""Гимназия √40","10","9:00","физкультура","Оба варианта","математика","Мне интересен сам предмет","1-3 часа","Не занимаюсь вообще","Время от времени","химия","9","6","8","9","Очень удовлетворен/на","9","6:30","Нет","20","8","В течение дня(за день перед уроком)","","",""
"2018/05/29 8:58:37 AM GMT+3","Мужской","Минск","Гимназия 3","8","9:00","математика","Оба варианта","география","Оба варианта","1-3 часа","от 3 до 7 в неделю","Никогда","русский язык","9","8","10","10","Слегка удовлетворен/на","9","7:30","Да","20","8","В течение дня(за день перед уроком)","","",""
