"Timestamp","Укажите ваш пол","Укажите город, в котором находится ваше учебное заведение","Укажите название учебного заведения, в котором вы обучаетесь","Укажите номер вашего класса(последний класс, который вы закончили)","Время в которое у вас начинаются уроки/пары","Выберите ваш первый любимый предмет","Почему вам нравится этот предмет?","Ваш второй любимый предмет","Почему вам нравится этот предмет?","Сколько часов вы обычно тратите в день на домашнее задание?","Сколько времени вы тратите на самообучение(не связанного с домашним заданием)?","Как часто вы списываете домашнее задание?","Отметьте предметы(можно несколько), по которым вы наиболее часто списываете домашнее задание","Как вы оцениваете чистоту вашей школы (по десятибалльной шкале)?","Как вы оцениваете столовую в вашей школе (по десятибалльной шкале)?","Как вы оцениваете прилегающую территорию вашей школы, в том числе и стадион (по десятибалльной шкале)?","Как вы оцениваете спортивный зал и инвентарь в вашей школе(по десятибальной шкале)?","Насколько вы в целом удовлетворены своим учебным заведением?","Как вы оцениваете своё желание учиться в вашем учебном заведении на данный момент (по десятибалльной шкале)?","Сколько в среднем вы спите по будням?","Делаете ли вы утром зарядку?","Сколько времени у вас занимает дорога от дома до школы?","На сколько баллов(от 1 до 10) вы оцениваете своё рабочее состояние в течение дня?","Когда вы делаете домашнее задание?","Можете добавить какую-либо важную, по вашему мнению, информацию о вашем учебном заведении, которая не была упомянута в опросе.","Можете написать предложения по поводу данного опроса.",""
"2018/04/03 8:38:59 PM GMT+3","Женский","","","10","8:30","математика","Оба варианта","информатика","Оба варианта","1-3 часа","от 3 до 7 в неделю","Время от времени","химия;география;всемирная история;история Беларуси","","","","","Очень удовлетворен/на","Сильное","6:30","Нет","50","Отличное","Комбинированно","","","Лицей БГУ"
"2018/04/03 8:39:37 PM GMT+3","Женский","","","10","8:30","математика","Оба варианта","химия","Оба варианта","1-3 часа","до 3 часов в неделю","Время от времени","иностранный язык","","","","","Очень удовлетворен/на","Сильное","6:00","Нет","40","Терпимое","Комбинированно","","","Лицей бгу"
"2018/04/03 8:42:00 PM GMT+3","Женский","","","10","8:30","физика","Оба варианта","математика","Мне интересен сам предмет","больше 3 часов","больше 7 часов в неделю","Никогда","география;белорусский язык;белорусская литература","","","","","Очень удовлетворен/на","Сильное","8:00","Нет","60","Отличное","Комбинированно","","","Лицей БГУ "
"2018/04/03 8:42:07 PM GMT+3","Женский","","","10","8:30","белорусская литература","Его интересно преподают","информатика","Мне интересен сам предмет","1-3 часа","до 3 часов в неделю","Время от времени","химия;география;астрономия","","","","","Очень удовлетворен/на","Сильное","6:00","Нет","35","Терпимое","В течение дня(за день перед уроком)","","","Лицей БГУ"
"2018/04/03 8:43:40 PM GMT+3","Женский","","","10","8:30","белорусская литература","Оба варианта","белорусский язык","Оба варианта","больше 3 часов","от 3 до 7 в неделю","Время от времени","иностранный язык","","","","","Очень удовлетворен/на","Сильное","6:00","Нет","50","Терпимое","Комбинированно","","","Лицей БГУ"
"2018/04/03 8:45:13 PM GMT+3","Женский","","","11","8:30","иностранный язык","Мне интересен сам предмет","история Беларуси","Оба варианта","больше 3 часов","от 3 до 7 в неделю","Время от времени","информатика","","","","","Очень удовлетворен/на","Небольшое","6:00","Нет","30","Терпимое","В течение дня(за день перед уроком)","","","Лицей БГУ"
"2018/04/03 8:45:40 PM GMT+3","Женский","","","10","8:30","белорусская литература","Хороший преподаватель","русская литература","Мне интересен сам предмет","до 1 часа","больше 7 часов в неделю","Практически постоянно","метематика;химия;белорусский язык","","","","","Слегка удовлетворен/на","Небольшое","6:00","Нет","40","Терпимое","В течение дня(за день перед уроком)","","","Лицей БГУ"
"2018/04/03 8:45:59 PM GMT+3","Женский","","","11","8:30","белорусский язык","Оба варианта","иностранный язык","Оба варианта","больше 3 часов","от 3 до 7 в неделю","Время от времени","метематика","","","","","Очень удовлетворен/на","Сильное","6:00","Да","45","Терпимое","Комбинированно","","","Лицей БГУ"
"2018/04/03 8:47:06 PM GMT+3","Женский","","","11","8:30","русская литература","Оба варианта","математика","Мне интересен сам предмет","больше 3 часов","Не занимаюсь вообще","Практически постоянно","метематика;информатика;история Беларуси","","","","","Слегка удовлетворен/на","Сильное","4:30","Нет","40","Отличное","Комбинированно","","","Лицей БГУ "
"2018/04/03 8:47:12 PM GMT+3","Женский","","","11","8:30","русская литература","Оба варианта","математика","Мне интересен сам предмет","больше 3 часов","Не занимаюсь вообще","Практически постоянно","метематика;информатика;история Беларуси","","","","","Слегка удовлетворен/на","Сильное","4:30","Нет","40","Отличное","Комбинированно","","","Лицей БГУ "
